id	lat	lng	city	address_	province	suburb	street	postcode
842	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
843	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
844	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
845	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
846	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
847	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
848	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
849	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
850	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
851	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
852	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
