id	lat	lng	city	address_	province	suburb	street	postcode
1126	24.779788	46.622942	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District	Ath Thaliah Street	13315
1127	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1128	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1129	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1130	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1131	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1132	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1133	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1134	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1135	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1136	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
1137	24.77878	46.69821	Riyadh Region	At Taawun Distrikt, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	At Taawun Distrikt	الغاط	13314
